NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,B19083_001E,B19083_001M,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Washington County, Mississippi",47086,22018,25068,12097,33982,56,282,0,391,278,74,204,47086,46357,729,0.5328,0.0241,19884,33274,31644,44672,15031,34279,34193,-666666666,16376,17975,28,151
"Perry County, Mississippi",12028,5845,6183,9475,2368,0,17,0,16,152,5,147,12028,11847,181,0.4818,0.0517,21611,22803,23155,4721,16900,-666666666,,-666666666,,16319,28,111
"Choctaw County, Mississippi",8321,4174,4147,5631,2596,23,15,8,13,35,0,35,8321,8288,33,0.4432,0.0249,20589,24903,24886,16485,11369,34804,,,,9486,28,019
"Itawamba County, Mississippi",23480,11821,11659,21346,1681,75,57,7,170,144,12,132,23480,23120,360,0.4299,0.0246,20629,21406,21477,14814,13690,6755,,,17314,6221,28,057
"Carroll County, Mississippi",10129,5116,5013,6523,3503,6,0,0,0,97,15,82,10129,10100,29,0.4489,0.0319,22567,27585,27636,,13420,,-666666666,-666666666,-666666666,14429,28,015
"Grenada County, Mississippi",21278,10103,11175,11736,9238,135,23,0,16,130,0,130,21278,21138,140,0.4787,0.0280,21668,25806,25857,20711,16700,8310,,-666666666,,17823,28,043
"Jefferson County, Mississippi",7346,3642,3704,979,6310,11,33,0,7,6,0,6,7346,7318,28,0.4982,0.0484,13374,27214,27676,,10943,,5127,-666666666,,,28,063
"Greene County, Mississippi",13714,8294,5420,10054,3496,53,0,0,4,107,2,105,13714,13552,162,0.4116,0.0350,17453,20991,21201,10773,7515,18168,-666666666,-666666666,,5207,28,041
"Marshall County, Mississippi",35787,17736,18051,17657,17134,15,24,0,640,317,0,317,35787,34506,1281,0.4503,0.0283,21352,25307,25598,17113,17423,21380,,-666666666,17557,21953,28,093
"Quitman County, Mississippi",7372,3476,3896,2027,5282,0,5,0,40,18,5,13,7372,7265,107,0.4690,0.0212,15353,22323,22550,10263,12695,-666666666,,-666666666,,,28,119
"Bolivar County, Mississippi",32592,15365,17227,10803,20941,41,213,0,363,231,33,198,32592,31891,701,0.5149,0.0254,17713,29241,28347,31752,11849,9854,29322,-666666666,12441,9178,28,011
"Lamar County, Mississippi",61223,29243,31980,46763,12240,80,780,0,340,1020,57,963,61223,59622,1601,0.4588,0.0249,28934,31815,32311,13780,18865,19074,28033,-666666666,15072,23757,28,073
"Lee County, Mississippi",84915,40526,44389,57379,24653,206,720,6,910,1041,219,822,84915,82687,2228,0.4701,0.0176,25467,29747,30084,12800,16888,11788,23671,,12065,8340,28,081
"Pike County, Mississippi",39737,18836,20901,17695,21263,153,239,4,103,280,0,280,39737,39051,686,0.5263,0.0281,17954,24250,24530,12604,12525,,45946,,21962,15664,28,113
"Tallahatchie County, Mississippi",14361,8012,6349,5082,7089,22,206,13,1915,34,30,4,14361,12383,1978,0.5138,0.0396,14943,25701,25931,,11670,,3200,,,,28,135
"Smith County, Mississippi",16063,7847,8216,12182,3706,0,69,30,4,72,0,72,16063,15793,270,0.4772,0.0417,23164,26031,26422,8800,13036,-666666666,94449,,,,28,129
"Stone County, Mississippi",18375,9367,9008,14373,3544,66,0,20,0,372,10,362,18375,18002,373,0.4449,0.0484,21931,24651,24948,13155,12930,16680,-666666666,,-666666666,4729,28,131
"Warren County, Mississippi",47075,22428,24647,22859,23138,105,241,9,160,563,39,524,47075,46052,1023,0.4663,0.0185,23793,32395,32636,19548,15567,64708,31635,,11051,5620,28,149
"Clarke County, Mississippi",15928,7443,8485,10113,5696,10,0,0,44,65,11,54,15928,15862,66,0.4762,0.0296,22422,27700,27729,,13160,,-666666666,-666666666,35291,6489,28,023
"Kemper County, Mississippi",10107,5170,4937,3571,6156,370,0,0,0,10,0,10,10107,9975,132,0.4562,0.0347,15518,21958,22703,,12098,10167,-666666666,-666666666,-666666666,,28,069
"Montgomery County, Mississippi",10198,4769,5429,5398,4428,0,34,0,45,293,2,291,10198,10063,135,0.5035,0.0600,22913,30572,30841,15253,14564,-666666666,,-666666666,18907,11277,28,097
"Oktibbeha County, Mississippi",49481,24863,24618,28538,18344,47,1546,20,170,816,29,787,49481,48663,818,0.5347,0.0188,22136,27741,27951,18587,13659,22547,24320,,20072,12848,28,105
"Pearl River County, Mississippi",55149,27263,27886,46341,7046,87,183,0,427,1065,95,970,55149,53476,1673,0.4342,0.0163,23135,24909,25080,16262,12387,,26523,-666666666,14266,20395,28,109
"Leake County, Mississippi",22870,11533,11337,11754,9608,1289,85,0,17,117,0,117,22870,21835,1035,0.4705,0.0205,17960,22488,24085,6598,13428,12654,10958,-666666666,,,28,079
"Noxubee County, Mississippi",10828,5127,5701,2940,7820,9,4,0,7,48,0,48,10828,10680,148,0.4659,0.0351,17637,25550,26615,4614,14753,,,-666666666,,,28,103
"Neshoba County, Mississippi",29376,13988,15388,17673,6196,4754,136,8,44,565,9,556,29376,28777,599,0.4700,0.0199,19641,23115,23553,9010,14142,15447,14582,,,7959,28,099
"Rankin County, Mississippi",151240,73041,78199,115013,31003,225,1738,41,1380,1840,132,1708,151240,147099,4141,0.4076,0.0109,29874,32637,32820,21486,20480,27677,34622,,19618,18185,28,121
"Tate County, Mississippi",28493,13828,14665,18908,8352,40,52,51,232,858,32,826,28493,27733,760,0.4373,0.0291,23542,27587,27978,14526,15368,89228,13965,,16369,13872,28,137
"Lawrence County, Mississippi",12630,6130,6500,8259,4193,10,16,0,55,97,0,97,12630,12551,79,0.4495,0.0253,21809,24721,24761,5142,16595,21200,,-666666666,,8739,28,077
"Panola County, Mississippi",34243,16549,17694,16645,17101,59,6,11,87,334,0,334,34243,33550,693,0.4598,0.0239,19972,26882,27362,12716,13668,,,,,2609,28,107
"Yalobusha County, Mississippi",12421,6085,6336,7220,5054,44,8,0,70,25,0,25,12421,12223,198,0.4005,0.0283,21140,24364,24363,23069,16210,,,-666666666,,,28,161
"Chickasaw County, Mississippi",17279,8331,8948,9063,7505,21,12,0,255,423,64,359,17279,16464,815,0.4621,0.0218,19556,25292,26065,8511,13574,,,-666666666,8068,9884,28,017
