NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_002E,B03003_003E,B19083_001E,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Carroll County, Arkansas",27690,13639,14051,25856,318,172,245,143,301,655,43,612,23669,4021,0.4365,20888,21449,23195,10334,4871,22373,8367,4324,11001,18969,05,015
"Chicot County, Arkansas",11189,5452,5737,4778,6070,47,46,0,176,72,21,51,10611,578,0.5425,18853,25733,27149,8332,13764,9226,35646,-666666666,4077,23056,05,017
"Clark County, Arkansas",22684,10769,11915,16387,5348,39,174,0,336,400,15,385,21671,1013,0.4654,19500,21694,22255,6782,15279,11187,5691,-666666666,4589,5422,05,019
"Clay County, Arkansas",15202,7490,7712,14632,76,62,26,0,242,164,5,159,14927,275,0.4528,19192,19537,19543,13036,3829,14435,,-666666666,13783,5916,05,021
"Cleburne County, Arkansas",25587,12731,12856,24850,143,103,147,0,65,279,3,276,24972,615,0.4727,25078,25414,25753,11874,4738,19295,16470,-666666666,19668,13503,05,023
"Cleveland County, Arkansas",8421,4216,4205,7299,885,19,9,0,15,194,6,188,8232,189,0.4317,21485,22842,23203,6565,13801,53411,,-666666666,,5013,05,025
"Columbia County, Arkansas",24168,11514,12654,14506,8420,76,256,0,665,245,67,178,23549,619,0.4630,19922,24479,24675,12930,12636,24271,28863,-666666666,12157,10891,05,027
"Conway County, Arkansas",21060,10306,10754,17959,2490,112,16,0,47,436,0,436,20270,790,0.4702,21896,22556,23150,9973,17818,14879,,-666666666,33838,18827,05,029
"Craighead County, Arkansas",102884,50128,52756,83094,14233,657,1222,80,1614,1984,139,1845,98028,4856,0.4762,24226,26491,26955,11569,15106,14906,26515,,9249,9212,05,031
"Crawford County, Arkansas",61927,30446,31481,55876,825,1248,1086,0,948,1944,32,1912,57599,4328,0.4387,20889,21551,22042,11559,16043,20061,16280,-666666666,9383,12637,05,033
"Crittenden County, Arkansas",49511,23382,26129,22338,25110,87,324,75,230,1347,102,1245,48360,1151,0.4512,20133,27887,28249,15998,13577,20255,29363,12792,25560,11010,05,035
"Cross County, Arkansas",17329,8379,8950,12940,4033,27,52,0,63,214,0,214,17007,322,0.4626,20692,23485,23505,20415,12475,5219,8429,-666666666,,13690,05,037
"Dallas County, Arkansas",7738,3748,3990,4256,3179,4,138,0,67,94,0,94,7509,229,0.3892,17803,19473,19791,5646,16660,,11645,-666666666,,,05,039
